Well Name,Stage #,Stage Time hrs,Total Stage Proppant,Total Stage Volume bbl,Avg Stage Pressure,Avg Stage Rate,Max Stage Pressure,Max Stage Rate bpm,Avg HHP
"TECPETROL FP-1286,FORTIN DE PIEDR",4,2.616666667,522400,10395.45238,10958,67,11275,69,17990.3455
YPF SOIL-361,8,2.416666667,499200,8786.97619,10723,68.4,11284,75.8,17972.38912
"TECPETROL FP-1287,FORTIN DE PIEDR",33,3.416666667,5060,14110.2381,10944,67,11430,80,17967.36094
"TECPETROL FP-1283,FORTIN DE PIEDR",2,6.8,454800,14033.69048,11230,65.27,11532,72,17960.84538
YPF LCav-98,18,1.966666667,528200,8657.738095,8932,82,9549,83,17947.16981
"YPF LLL-1603H,LOMA CAMPANA",9,0.066666667,526800,8897,9856,74.3,10600,76,17944.15094
SHE.Nq.SB-1036(h),21,2.45,434800,9041.52381,10977,66.52,11499,74.28,17892.42931
YPF SOIL-361,11,2.616666667,544800,9549.119048,10689,68.3,11067,71.4,17889.21098
YPF RDMN-80,41,2.316666667,455900,12313.42857,10350,70.5,11421,76,17879.80887
YPF RDMN-83,37,3.066666667,455900,12313.42857,10350,70.5,11421,76,17879.80887
"TECPETROL FP-1286,FORTIN DE PIEDR",1,6.816666667,455600,10142.69048,11044,66.02,11375,71.3,17866.32884
YPF LCav-99,15,1.933333333,530800,8230.428571,8992,81,9600,82,17847.39035
"YPF RDMN-215(H),RINCON DEL MANG",15,2.483333333,505300,10106.07143,9842,74,10755,82,17846.31218
"TECPETROL FP-1286,FORTIN DE PIEDR",31,2.816666667,5084,10886.38095,10851,67,11520,76,17814.67778
"YPF RDMN-217(H),RINCON DEL MANG",8,2.683333333,496400,10492.66667,10383,70,10813,76,17809.60549
"TECPETROL FP-1286,FORTIN DE PIEDR",13,3.116666667,396300,9130.785714,11052,65.73,11592,69,17800.73413
"YPF RDMN-214(H),RINCON DEL MANG",16,2.6,473200,9705.333333,10657,68,11312,69,17757.31438
"YPF LLL-1605H,LOMA CAMPANA",17,2.3,535700,8849.285714,10200,71,10600,76,17745.65058
YPF.Nq.LCav-69(h),27,1.883333333,419100,7605.261905,10058,72,10660,77,17745.06248
YPF RDMN-82,8,3.133333333,525500,12361,10050,72,11000,75,17730.9483
"TECPETROL FP-1287,FORTIN DE PIEDR",8,2.633333333,510100,9944.02381,10962,66,11588,68,17728.30189
"YPF LLL-1605H,LOMA CAMPANA",31,2.4,540000,8994.738095,9900,73,10900,75,17708.89488
YPF LCav-841,1,2.55,537900,9393.952381,10736,67.3,11397,73.6,17704.79784
"YPF RDMN-215(H),RINCON DEL MANG",13,2.583333333,452900,9546.714286,10624,68,11250,72,17702.32786
"YPF LLL-1603H,LOMA CAMPANA",21,2.2,530800,8764.190476,9825,73.5,10590,75,17695.11149
"YPF RDMN-214(H),RINCON DEL MANG",4,2.716666667,485900,1051.380952,10166,71,11254,78,17686.49841
