SETresp,IdCiclo,SAP,IdCL,TipoBaja,Categoria,Componente,Motivo,FechaHora,PAD,Destino,ConCL
"2",,"12999797",,"MOV","DTM sin falla","N/A","pedida por  iem baja  por  prioridad 1","5/29/2022 5:44 PM","SB-52","Base Añelo","No"
"2",,"13038523",,"MOV","DTM sin falla","N/A","pedida por  iem  baja comn prioridad 1","5/29/2022 5:46 PM","SB-52","Base Añelo","No"
"3",,"11501075",,"REAC","Falla mayor (Equipo no operativo)","N/A","piston agarrado","6/1/2022 5:23 AM","LCav-26","Base Añelo","No"
"3",,"11720335",,"PREV","Inspeccion","Motor","chequeo de turbos","5/31/2022 6:45 AM","LCav-26","Base Añelo","No"
"1",,"12999791",,"REAC","Falla mayor (Equipo no operativo)","Motor","Rotura de Piro Block","6/2/2022 12:15 AM","RDMN-40","Base Añelo","No"
"3",,"11451139",,"PREV","PM / Service","N/A","Prioridad 1","6/2/2022 10:54 AM","LCav-26","Base Añelo","No"
"3",,"12506558",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Prensa agarrado Nro 2","6/2/2022 2:24 PM","LCav-26","Base Añelo","No"
"3",,"11691538",,"REAC","Falla mayor (Equipo no operativo)","Transmision","filtro de transmision con particulas de metal","6/2/2022 9:32 PM","LCav-26","Base Añelo","No"
"3",,"11647244",,"REAC","Falla mayor (Equipo no operativo)","Power-End","Falla en caja reductora, bulones cortados","6/3/2022 9:43 AM","LCav-26","Base Añelo","No"
"3",,"11528730",,"PREV","PM / Service","Power-End","Baja a base por prioridad 1. Valvulas de descarga dañadas","6/3/2022 4:21 PM","LCav-26","Base Añelo","No"
"3",,"12589528",,"REAC","Falla mayor (Equipo no operativo)","Motor","rompio cardan corto","6/4/2022 5:51 AM","LCav-26","Base Añelo","No"
"3",,"11970888",,"PREV","PM / Service","N/A","Prioridad 1","6/4/2022 6:29 PM","LCav-26","Base Añelo","No"
"2",,"11970564",,"PREV","Inspeccion","N/A","solicitada por iem","6/5/2022 5:16 AM","P51SB","Base Añelo","No"
"3",,"13038520",,"PREV","PM / Service","N/A","Baja por prioridad 1, realizar PM y empaque completo por cantidad de etapas","6/5/2022 12:06 PM","LCav-26","Base Añelo","No"
"3",,"11326934",,"PREV","PM / Service","N/A","Prioridad 1; sin manifold de grasera, Daisy con fallas; realizar PM y Empaque completo, cambiar camisa Nro4","6/5/2022 2:16 PM","LCav-26","Base Añelo","No"
"2",,"13057735",,"PREV","PM / Service","N/A","baja por mantntenimiento iem","6/6/2022 5:19 PM","P51SB","Base Añelo","No"
"2",,"13057735",,"PREV","PM / Service","N/A","Por mantenimiento de IEM","6/6/2022 5:52 PM","P51SB","Base Añelo","No"
"2",,"13057732",,"MOV","Mov a otra locacion sin falla","N/A","baja a realizar VTV","6/6/2022 5:57 PM","P51SB","Proveedor","No"
"1",,"12589516",,"REAC","Falla menor (Equipo puede operar)","Power-End","fisura en power end","6/6/2022 6:58 PM","RDMN-40","Base Añelo","No"
"3",,"12622242",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","lubricador agarrado","6/6/2022 11:44 PM","LCav-26","Base Añelo","No"
"3",,"12506558",,"PREV","PM / Service","N/A","prioridad 1","6/6/2022 11:48 PM","LCav-26","Base Añelo","No"
"3",,"11691538",,"REAC","Falla mayor (Equipo no operativo)","Motor","baja por rotura de polea de paleta de radiador","6/7/2022 12:42 AM","LCav-26","Base Añelo","No"
"3",,"13038520",,"PREV","PM / Service","N/A","Se envia a base por pediod d IEM","6/5/2022 4:16 AM","LCav-26","Base Añelo","No"
"3",,"11326732",,"PREV","PM / Service","N/A","Baja a base pedido por iem","6/7/2022 4:32 AM","LCav-26","Base Añelo","No"
"3",,"11597004",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Baja por fisura en piston 3","6/7/2022 7:59 PM","LCav-26","Base Añelo","No"
"3",,"11597004",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisura en piston 3","6/7/2022 8:31 PM","LCav-26","Base Añelo","No"
"3",,"12468265",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","piston agarrado","6/7/2022 8:39 PM","LCav-26","Base Añelo","No"
"3",,"12546259",,"PREV","PM / Service","N/A","baja por prioridad 1 pedida por IEM","6/7/2022 8:42 PM","LCav-26","Base Añelo","No"
