PSL,SubPSL,SAP Profit Center,Plant,Material,Description,SAP Base UOM,Unit Value L31
Production Enhancement,Frac / Acid Summary,6001010016,1608,102584401,"DISCH JT,STR,7 IN 15K BIG INCH,14.0 IN L",EA,1572.87
Production Enhancement,Other Production Enhancement,6001070700,1608,102586210,"ENCL,VLV WATCH ELEX,SEC GEN VALIDATION D",EA,707.4
Production Enhancement,Other Production Enhancement,6001070700,1608,102586211,"FAN,COOLING,2 IN SQ,24 VDC,21.5 CFM",EA,32.17
Production Enhancement,Other Production Enhancement,6001070700,1608,102586212,"BRKT,FAN,AL,RA, FOR 102586211",EA,8.41
Production Enhancement,Other Production Enhancement,6001070700,1608,102586213,"FINGER GUARD,FAN,FOR 102586211",EA,6.56
Production Enhancement,Other Production Enhancement,6001070700,1608,102586214,"MNT,PNL,BPC,MOXA,VALVE WATCH",EA,18.28
Production Enhancement,Frac / Acid Summary,6001010016,1608,102586264,"DISCH JT,STR,7 BIG INCH,55.87 IN L,F562C",EA,4778.61
Production Enhancement,Frac / Acid Summary,6001010016,1608,102589791,"ADPTR,8-3/4-4 MALE THD AND 7 IN BI SEAL",EA,816.01
Production Enhancement,Other Production Enhancement,6001070700,1608,102592894,"IND PC,ATOM E3845 QUAD,128GB ,8G RAM",EA,1897.1
Production Enhancement,Other Production Enhancement,6001070700,1608,102592993,"SWTCH,TEMP CNTL,NO, FOR 102586211",EA,37.12
Production Enhancement,Other Production Enhancement,6001070700,1608,102594241,"TRANS,ALL,9823 OFS,CUMMINS,24V,2 W,COND2",EA,88937.52
Production Enhancement,Other Production Enhancement,6001070700,1608,102597954,"FLTR,AIR,SEC,13.16 IN HEIGHT,5.02 IN OD,",EA,26.01
Production Enhancement,Frac / Acid Summary,6001010016,1608,102598800,"FLUID END SECT,4.000 IN,SLV INSTL,Q10,IN",EA,41520.71
Production Enhancement,Other Production Enhancement,6001070700,1608,102599213,"HDL,HANDHOLD,BLT,1-8 UNC,Q10",EA,35
Production Enhancement,Other Production Enhancement,6001070700,1608,102600214,"LIGHT,TL50BLG2R2Q, IP67, 24V,RED,GREEN",EA,111.99
Production Enhancement,Other Production Enhancement,6001070700,1608,102600718,"RGLTR,V,24 V,120AMP SER,USED WITH 24V 40",EA,186.57
Production Enhancement,Frac / Acid Summary,6001010016,1608,102601016,"ADPTR,WLLHD,7 IN 15K RMT,4-1/16 10/15",EA,3106.71
Production Enhancement,Frac / Acid Summary,6001010016,1608,102601836,"ADPTR,WLLHD,7 IN 15K RMT CONN HUB,7-1/16",EA,4449.12
Production Enhancement,Frac / Acid Summary,6001010016,1608,102602106,"PRESS XDCR,0-5000PSI,4-20mA OUT,0.25% AC",EA,459.95
Production Enhancement,Other Production Enhancement,6001070700,1608,102602953,"MANF HYDR,APPCO FRAC SANDER,FS40,2500 PS",EA,859.64
Production Enhancement,Other Production Enhancement,6001070700,1608,102604172,"CBL ASSY, AMP STRAIN GAUGE, 3 BRANCH",EA,196.25
Production Enhancement,Frac / Acid Summary,6001010016,1608,102605060,"FLUID END ASSY,4.000 IN,Q10,REPLT WITH N",EA,52913.45
Production Enhancement,Other Production Enhancement,6001070700,1608,102605765,"TARGET,CSHAFT POSN SNSR,HT-2000",EA,22.22
Production Enhancement,Other Production Enhancement,6001070700,1608,102605766,"CAP,CSHAFT POSITION SNSR,HT-2000",EA,29.02
Production Enhancement,Frac / Acid Summary,6001010016,1608,102606627,"FLUID END SECT,HT-2000,SLV INSTL,4.500 I",EA,31597.99
Production Enhancement,Frac / Acid Summary,6001010016,1608,102607020,"GUARD,SAF CH,HYDR VLV SEAT PULLER,XHD",EA,293.85
Production Enhancement,Frac / Acid Summary,6001010016,1608,102607057,"BLK,8 3/4-4 STUB AC MALE WITH 7 IN BIG I",EA,1307.92
Production Enhancement,Other Production Enhancement,6001070700,1608,102607405,"TERMINAL BLOCK,RESISTOR 4.7K OHM,CUSTOM",EA,10.21
Production Enhancement,Other Production Enhancement,6001070700,1608,102607406,"TERMINAL BLOCK,RESISTOR 10K OHM,CUSTOM",EA,10.29
Production Enhancement,Frac / Acid Summary,6001010016,1608,102607948,"ADPTR,LINCOLN QUICKLUB GRS SYS,GRS PUMP",EA,4.41
Production Enhancement,Other Production Enhancement,6001070700,1608,102608061,"BLT,QIK ATCH,HT-2000 SNSR GUARD",EA,35.93
Production Enhancement,Other Production Enhancement,6001070700,1608,102609740,"SWITCH,SENSING,PROXIMITY LIMIT SWITCH",EA,246.28
Production Enhancement,Frac / Acid Summary,6001010016,1608,102615561,"ASSY,CTR,TWO PC GDE BSHG RTNR,Q10,4 IN,X",EA,35.07
Production Enhancement,Frac / Acid Summary,6001010016,1608,102615819,"TL,W-SPRING LOCK GDE BSHG RTNR,REPLACEAB",EA,273.6
Production Enhancement,Other Production Enhancement,6001070700,1608,102616171,"DSPL,12.1 IN,TFT LCD FLAT PNL,XGA 1024X7",EA,3427.79
Production Enhancement,Frac / Acid Summary,6001010016,1608,102616321,"SEAL ASSY,TRNSN,7 IN 15 K BIG IN X 7 IN",EA,662.49
Production Enhancement,Other Production Enhancement,6001070700,1608,102617231,"SCR,10-32 THD,PNH MACH W/ LW,18-8,SEMS",EA,0.47
Production Enhancement,Other Production Enhancement,6001070700,1608,102617811,"EXHAUST, FLEXIBLE",EA,25
Production Enhancement,Frac / Acid Summary,6001010016,1608,102619036,"CROSS,7 PORT,7 IN REM CONN,SIX 3 1502",EA,10327.66
Production Enhancement,Other Production Enhancement,6001070700,1608,102619903,"CAM,LCH,REPLT,FOR USE WITH HOFFMAN PTWPS",EA,7.28
Production Enhancement,Other Production Enhancement,6001070700,1608,102619957,FLASK,EA,1082.14
Production Enhancement,Other Production Enhancement,6001070700,1608,102622690,"SENSOR,POSITION,INDUCTIVE, IP68, NO PNP",EA,187.75
Production Enhancement,Other Production Enhancement,6001070700,1608,102624211,"ASSY,STG BTRY DISC,ALL DUAL-BTRY eADP/AD",EA,889.29
Production Enhancement,Other Production Enhancement,6001070700,1608,102625283,"SCR,SET,1/4-28 NF X 1.25,CUP PORT,HEX SK",EA,0.06
Production Enhancement,Other Production Enhancement,6001070700,1608,102632554,"CONN,ELB MALE ONE-TOUCH FTG,SST,3/8 IN T",EA,37.01
Production Enhancement,Other Production Enhancement,6001070700,1608,102634176,"GRBX,RTANG,1.5:1GR,OIL PMP,LWR VNT,W/YKE",EA,5095.23
Production Enhancement,Frac / Acid Summary,6001010016,1608,102635064,"ADPTR,WLLHD,7 IN 15K RMT CONN,5-1/8 15K",EA,3975.61
Production Enhancement,Other Production Enhancement,6001070700,1608,102635658,"TRANS,ALL,9823OFS,CAT3512,CND2 102415117",EA,108626.93
Production Enhancement,Frac / Acid Summary,6001010016,1608,102644696,"ASSY,W-SPRING LOCK GDE BSHG RTNR,REPLACE",EA,60.75
Production Enhancement,Frac / Acid Summary,6001010016,1608,102649762,"KIT,RPR,FULL,CH 100015739 OR EQUIV",EA,1390.41
Production Enhancement,Frac / Acid Summary,6001010016,1608,102651205,"TL,LUGS,NO 5 VLV SEAT,TWIN PINES",EA,685.18
Production Enhancement,Frac / Acid Summary,6001010016,1608,102651206,"TL,CYL,SEAT PULLER,TWIN PINES",EA,1092.32
Production Enhancement,Frac / Acid Summary,6001010016,1608,102651207,"TL,HYDR HD PUMP,SEAT PULLER,TWIN PINES",EA,533.62
Production Enhancement,Frac / Acid Summary,6001010016,1608,102651208,"TL,24 IN ROD,SEAT PULLER,TWIN PINES",EA,88.33
Production Enhancement,Frac / Acid Summary,6001010016,1608,102651209,"TL,NUT,SEAT PULLER,TWIN PINES",EA,256.65
Production Enhancement,Frac / Acid Summary,6001010016,1608,102651210,"TL,SAF DVC,SEAT PULLER,TWIN PINES",EA,96.35
Production Enhancement,Frac / Acid Summary,6001010016,1608,102651211,"TL,42 IN ROD,SEAT PULLER,TWIN PINES",EA,284.13
Production Enhancement,Frac / Acid Summary,6001010016,1608,102651212,"HYDR HOSE,15 FT,TWIN PINES",EA,283.39
Production Enhancement,Other Production Enhancement,6001070700,1608,102652473,"KIT,RTRFT,GNRC DUAL AIR FLTR SNSR INSTL",EA,1213.5
Production Enhancement,Frac / Acid Summary,6001010016,1608,102656667,"XDCR,PRESS,0-15,000 PSI WP,4-20 MA,2-IN",EA,749.69
Production Enhancement,Other Production Enhancement,6001070700,1608,102667349,"XFR CASE,NAMCO,574 T CASE,574-A-SPBBXBDX",EA,39851.83
Production Enhancement,Frac / Acid Summary,6001010016,1608,102667772,"HUB TRNSN,7 IN 15K BIG IN X 7 IN 15K WLL",EA,2014.19
Production Enhancement,Other Production Enhancement,6001070700,1608,102668076,"DSPL,15 IN,LCD,DAYLT ENHNCD,DAISY DATA",EA,520.58
Production Enhancement,Frac / Acid Summary,6001010016,1608,102673062,"SPNR,WLLHD ADPTR,7 IN RMT CONN,360",EA,101.67
Production Enhancement,Frac / Acid Summary,6001010016,1608,102674648,"SWVL JT,3 IN,15KSI WP,DUAL,STYLE100,1505",EA,3929.81
Production Enhancement,Frac / Acid Summary,6001010016,1608,102677054,"FLUID END ASSY,4.500,HT-2000,REPLT WITH",EA,45003.26
Production Enhancement,Other Production Enhancement,6001070700,1608,102680328,"KIT,AIR INTAKE,19 IN CAT AIR CLNRS,W/ SP",EA,14163.79
