SAP,Equipo,Patente,SET,,,,,,,,
13316826,SEMIS CAJAS,AD925TD,SET 1,,,,,,,,
13316827,SEMIS CAJAS,AD925TA,SET 1,,,,,,,,
13316828,SEMIS CAJAS,AD871JU,SET 1,,,,,,,,
13428187,Skytruck,Sin dominio,SET 3,,,,,,,,
13266644,Skytruck,Sin dominio,SET 2,,,,,,,,
13428186,Skytruck,Sin dominio,SET 1,,,,,,,,
13266646,Skytruck,Sin dominio,DME,,,,,,,,
12963700,TCC,AD742TS,SET 1,,,,,,,,
13045605,TCC,AD742RR,SET 2,,,,,,,,
13098007,TCC,sin dominio,SET 3,,,,,,,,
12768702,TCC,,SET 4,,,,,,,,
12483258,TOLVA ,NZM158,SET 4,,,,,,,,
12480944,TOLVA ,NXJ652,SET 4,,,,,,,,
12412878,TOLVA ,NRG263,SET 4,,,,,,,,
12482806,TOLVA ,NXJ651,SET 4,,,,,,,,
12483257,TOLVA ,NZM159,SET 4,,,,,,,,
12569142,TOLVA ,OIE284,SET 4,,,,,,,,
12569141,TOLVA ,OIE285,SET 4,,,,,,,,
12480943,TOLVA ,NXJ653,SET 4,,,,,,,,
13269580,TOLVA ,AD442XE,SET 4,,,,,,,,
13269581,TOLVA ,AD680HW,SET 4,,,,,,,,
13269582,TOLVA ,AD680HX,SET 4,,,,,,,,
13269583,TOLVA ,AD680HT,SET 4,,,,,,,,
13269584,TOLVA ,AD680HY,SET 4,,,,,,,,
13116383,TRAC HYD BLOWER 6X4,AC988AU,SET 1,,,,,,,,
13229325,TRAC HYD BLOWER 6X4,AD270MW,SET 2,,,,,,,,
13116389,TRAC HYD BLOWER 6X4,AC988AM,SET 2,,,,,,,,
13229311,TRAC HYD BLOWER 6X4,AD270MT,SET 2,,,,,,,,
13067517,TRAC HYD START 6X4 SLPR,AC689RM,SET 1,,,,,,,,
13064305,TRAC HYD START 6X4 SLPR,AC689RS,SET 1,,,,,,,,
13067509,TRAC HYD START 6X4 SLPR,AC689RW,SET 1,,,,,,,,
13067507,TRAC HYD START 6X4 SLPR,AC689SA,SET 1,,,,,,,,
13067511,TRAC HYD START 6X4 SLPR,AC689SB,SET 1,,,,,,,,
13070725,TRAC HYD START 6X4 SLPR,AC899PM,SET 1,,,,,,,,
13123831,TRAC HYD START 6X4 SLPR,AD191KU,SET 1,,,,,,,,
13123811,TRAC HYD START 6X4 SLPR,AD191KY,SET 1,,,,,,,,
13123827,TRAC HYD START 6X4 SLPR,AD203TA,SET 1,,,,,,,,
12244538,TRAC HYD START 6X4 SLPR,MRL950,SET 1,,,,,,,,
12244530,TRAC HYD START 6X4 SLPR,MRL955,SET 1,,,,,,,,
12244548,TRAC HYD START 6X4 SLPR,MRL982,SET 1,,,,,,,,
12244536,TRAC HYD START 6X4 SLPR,MRL989,SET 1,,,,,,,,
12585210,TRAC HYD START 6X4 SLPR,OEC362,SET 1,,,,,,,,
12584742,TRAC HYD START 6X4 SLPR,OEC363,SET 1,,,,,,,,
12584752,TRAC HYD START 6X4 SLPR,OEV281,SET 1,,,,,,,,
12784275,TRAC HYD START 6X4 SLPR,PJX195,SET 1,,,,,,,,
12784261,TRAC HYD START 6X4 SLPR,PJX196,SET 1,,,,,,,,
12784287,TRAC HYD START 6X4 SLPR,PJX198,SET 1,,,,,,,,
12784267,TRAC HYD START 6X4 SLPR,PJX199,SET 1,,,,,,,,
12784259,TRAC HYD START 6X4 SLPR,PJX200,SET 1,,,,,,,,
12784277,TRAC HYD START 6X4 SLPR,PLO515,SET 1,,,,,,,,
13228152,TRAC HYD START 6X4 SLPR,AD442YR,SET 1,,,,,,,,
